#Metadata; Text; Minimap icon
MonsterNemesisUniqueDrop; Inner Treasure nearby; 1,4
MonsterImplicitNemesisUniqueDrop; Inner Treasure nearby; 1,4
MonsterAuraPhysicalThorns1; Physical Reflect nearby; 6,3
MonsterPhysicalThorns; Physical Reflect nearby; 6,3
MonsterAuraElementalThorns1; Elemental Reflect nearby; 7,3
MonsterElementalThorns; Elemental Reflect nearby; 7,3
MonsterNemesisCorruptedBlood; Corrupting Blood nearby; 6,7
MonsterItems1; Wealth monsters nearby; 3,4
MonsterExplodesOnDeathFire1; Volatile Flameblood nearby; 2,4
MonsterExplodesOnDeathLightning1; Volatile Stormblood nearby; 2,4
MonsterExplodesOnDeathCold1; Volatile Iceblood nearby; 2,4
MonsterThornsPhysical1; Physical Reflect nearby; 6,3
MonsterThornsElemental1; Elemental Reflect nearby; 7,3
MonsterThornsPhysical1Large; Physical Reflect nearby; 6,3
MonsterThornsElemental1Large; Elemental Reflect nearby; 7,3
MonsterBloodlinesDropRareItem; Keepers of the Trove; 3,4
MonsterBloodlinesBeaconOnDeathFire; Flame Bearers;2,4
MonsterBloodlinesBeaconOnDeathCold; Frost Bearers;2,4
MonsterBloodlinesBeaconOnDeathLightning; Storm Bearers;2,4
MonsterTentacleFieldDropModifiers;Tentacle; 3,4
#Delirium
MonsterAfflictionMagicRewardDebuffFlaskEffect_; Diluting Touch; 1,4
MonsterAfflictionMagicRewardDebuffActionSpeed; Paralysing Touch; 7,3
MonsterAfflictionMagicRewardDebuffRecoveryRate__; Wasting Touch; 3,4
MonsterAfflictionMagicRewardDebuffDamageTaken; Eroding Touch; 6,3
MonsterAfflictionHasTeleportAndExplodeOnDeathDaemon; Vengeful Stalker; 1,7
MonsterAfflictionVolatileOnDeath; Vengeful Chase; 6,7
MonsterAfflictionAnomalyOnDeath; Vengeful Grip; 1,5
